Client,AD/GP/Others,RO Date,DoP,Bill No.,Bill Date,Final Deal(Rs.),GST(%),Amount Received Date
Margarete Mayer,Ut officiis ratione et accusamus non.,03-01-2023,05-11-2022,9,26-05-2023,503,18,
Margarete Mayer,Beatae magnam facere nesciunt dolorem quia.,04-01-2024,01-12-2022,10,29-01-2024,303,28,
Margarete Mayer,Delectus reprehenderit non aliquam facilis voluptate error aut ipsa quibusdam.,01-03-2023,31-12-2023,11,24-05-2023,474,12,
Margarete Mayer,Est ipsa aut non saepe facilis est.,20-09-2022,11-10-2022,12,06-11-2023,539,12,
Margarete Mayer,Odit eum et magnam officiis natus ut dolore culpa.,20-03-2023,05-08-2022,13,14-12-2022,607,12,
Margarete Mayer,Velit voluptates beatae laudantium et facilis rem et facere.,11-08-2023,30-10-2022,14,31-05-2022,110,28,
Margarete Mayer,Nihil quaerat distinctio voluptatem qui aut et hic quidem.,27-05-2023,14-06-2022,15,14-11-2023,594,18,
Margarete Mayer,Iusto soluta corrupti deserunt.,01-02-2024,09-06-2022,16,20-01-2024,74,18,
Margarete Mayer,Ut officiis ratione et accusamus non.,03-01-2023,05-11-2022,17,26-05-2023,112,12,
Margarete Mayer,Beatae magnam facere nesciunt dolorem quia.,04-01-2024,01-12-2022,18,29-01-2024,112,12,
Margarete Mayer,Delectus reprehenderit non aliquam facilis voluptate error aut ipsa quibusdam.,01-03-2023,31-12-2023,19,24-05-2023,112,12,
Margarete Mayer,Est ipsa aut non saepe facilis est.,20-09-2022,11-10-2022,20,06-11-2023,112,12,
Margarete Mayer,Odit eum et magnam officiis natus ut dolore culpa.,20-03-2023,05-08-2022,21,14-12-2022,112,12,
Margarete Mayer,Velit voluptates beatae laudantium et facilis rem et facere.,11-08-2023,30-10-2022,22,31-05-2022,112,12,
Margarete Mayer,Nihil quaerat distinctio voluptatem qui aut et hic quidem.,27-05-2023,14-06-2022,23,14-11-2023,112,12,
Margarete Mayer,Iusto soluta corrupti deserunt.,01-02-2024,09-06-2022,24,20-01-2024,112,12,
Margarete Mayer,Ut officiis ratione et accusamus non.,03-01-2023,05-11-2022,25,26-05-2023,112,12,
Margarete Mayer,Beatae magnam facere nesciunt dolorem quia.,04-01-2024,01-12-2022,26,29-01-2024,112,12,
Margarete Mayer,Delectus reprehenderit non aliquam facilis voluptate error aut ipsa quibusdam.,01-03-2023,31-12-2023,27,24-05-2023,112,12,
Margarete Mayer,Est ipsa aut non saepe facilis est.,20-09-2022,11-10-2022,28,06-11-2023,112,12,
Margarete Mayer,Odit eum et magnam officiis natus ut dolore culpa.,20-03-2023,05-08-2022,29,14-12-2022,112,12,
Margarete Mayer,Velit voluptates beatae laudantium et facilis rem et facere.,11-08-2023,30-10-2022,30,31-05-2022,112,12,
Margarete Mayer,Nihil quaerat distinctio voluptatem qui aut et hic quidem.,27-05-2023,14-06-2022,31,14-11-2023,112,12,
Margarete Mayer,Iusto soluta corrupti deserunt.,01-02-2024,09-06-2022,32,20-01-2024,112,12,
Margarete Mayer,Ut officiis ratione et accusamus non.,03-01-2023,05-11-2022,33,26-05-2023,112,12,
Margarete Mayer,Beatae magnam facere nesciunt dolorem quia.,04-01-2024,01-12-2022,34,29-01-2024,112,12,
Margarete Mayer,Delectus reprehenderit non aliquam facilis voluptate error aut ipsa quibusdam.,01-03-2023,31-12-2023,35,24-05-2023,112,12,
Margarete Mayer,Est ipsa aut non saepe facilis est.,20-09-2022,11-10-2022,36,06-11-2023,112,12,
Margarete Mayer,Odit eum et magnam officiis natus ut dolore culpa.,20-03-2023,05-08-2022,37,14-12-2022,112,12,
Margarete Mayer,Velit voluptates beatae laudantium et facilis rem et facere.,11-08-2023,30-10-2022,38,31-05-2022,112,12,
Margarete Mayer,Nihil quaerat distinctio voluptatem qui aut et hic quidem.,27-05-2023,14-06-2022,39,14-11-2023,112,12,
Margarete Mayer,Iusto soluta corrupti deserunt.,01-02-2024,09-06-2022,40,20-01-2024,112,12,
Margarete Mayer,Ut officiis ratione et accusamus non.,03-01-2023,05-11-2022,41,26-05-2023,112,12,
Margarete Mayer,Beatae magnam facere nesciunt dolorem quia.,04-01-2024,01-12-2022,42,29-01-2024,112,12,
Margarete Mayer,Delectus reprehenderit non aliquam facilis voluptate error aut ipsa quibusdam.,01-03-2023,31-12-2023,43,24-05-2023,112,12,
Margarete Mayer,Est ipsa aut non saepe facilis est.,20-09-2022,11-10-2022,44,06-11-2023,112,12,
Margarete Mayer,Odit eum et magnam officiis natus ut dolore culpa.,20-03-2023,05-08-2022,45,14-12-2022,112,12,
Margarete Mayer,Velit voluptates beatae laudantium et facilis rem et facere.,11-08-2023,30-10-2022,46,31-05-2022,112,12,
Margarete Mayer,Nihil quaerat distinctio voluptatem qui aut et hic quidem.,27-05-2023,14-06-2022,47,14-11-2023,112,12,
Margarete Mayer,Iusto soluta corrupti deserunt.,01-02-2024,09-06-2022,48,20-01-2024,112,12,
Margarete Mayer,Ut officiis ratione et accusamus non.,03-01-2023,05-11-2022,49,26-05-2023,112,12,
Margarete Mayer,Beatae magnam facere nesciunt dolorem quia.,04-01-2024,01-12-2022,50,29-01-2024,112,12,
Margarete Mayer,Delectus reprehenderit non aliquam facilis voluptate error aut ipsa quibusdam.,01-03-2023,31-12-2023,51,24-05-2023,112,12,
Margarete Mayer,Est ipsa aut non saepe facilis est.,20-09-2022,11-10-2022,52,06-11-2023,112,12,
Margarete Mayer,Odit eum et magnam officiis natus ut dolore culpa.,20-03-2023,05-08-2022,53,14-12-2022,112,12,
Margarete Mayer,Velit voluptates beatae laudantium et facilis rem et facere.,11-08-2023,30-10-2022,54,31-05-2022,112,12,
Margarete Mayer,Nihil quaerat distinctio voluptatem qui aut et hic quidem.,27-05-2023,14-06-2022,55,14-11-2023,112,12,
Margarete Mayer,Iusto soluta corrupti deserunt.,01-02-2024,09-06-2022,56,20-01-2024,112,12,
Margarete Mayer,Ut officiis ratione et accusamus non.,03-01-2023,05-11-2022,57,26-05-2023,112,12,
Margarete Mayer,Beatae magnam facere nesciunt dolorem quia.,04-01-2024,01-12-2022,58,29-01-2024,112,12,
Margarete Mayer,Delectus reprehenderit non aliquam facilis voluptate error aut ipsa quibusdam.,01-03-2023,31-12-2023,59,24-05-2023,112,12,
Margarete Mayer,Est ipsa aut non saepe facilis est.,20-09-2022,11-10-2022,60,06-11-2023,112,12,
Margarete Mayer,Odit eum et magnam officiis natus ut dolore culpa.,20-03-2023,05-08-2022,61,14-12-2022,112,12,
Margarete Mayer,Velit voluptates beatae laudantium et facilis rem et facere.,11-08-2023,30-10-2022,62,31-05-2022,112,12,
Margarete Mayer,Nihil quaerat distinctio voluptatem qui aut et hic quidem.,27-05-2023,14-06-2022,63,14-11-2023,112,12,
Margarete Mayer,Iusto soluta corrupti deserunt.,01-02-2024,09-06-2022,64,20-01-2024,112,12,
Margarete Mayer,Ut officiis ratione et accusamus non.,03-01-2023,05-11-2022,65,26-05-2023,112,12,
Margarete Mayer,Beatae magnam facere nesciunt dolorem quia.,04-01-2024,01-12-2022,66,29-01-2024,112,12,
Margarete Mayer,Delectus reprehenderit non aliquam facilis voluptate error aut ipsa quibusdam.,01-03-2023,31-12-2023,67,24-05-2023,112,12,
Margarete Mayer,Est ipsa aut non saepe facilis est.,20-09-2022,11-10-2022,68,06-11-2023,112,12,
Margarete Mayer,Odit eum et magnam officiis natus ut dolore culpa.,20-03-2023,05-08-2022,69,14-12-2022,112,12,
Margarete Mayer,Velit voluptates beatae laudantium et facilis rem et facere.,11-08-2023,30-10-2022,70,31-05-2022,112,12,
Margarete Mayer,Nihil quaerat distinctio voluptatem qui aut et hic quidem.,27-05-2023,14-06-2022,71,14-11-2023,112,12,
Margarete Mayer,Iusto soluta corrupti deserunt.,01-02-2024,09-06-2022,72,20-01-2024,112,12,
Margarete Mayer,Ut officiis ratione et accusamus non.,03-01-2023,05-11-2022,73,26-05-2023,112,12,
Margarete Mayer,Beatae magnam facere nesciunt dolorem quia.,04-01-2024,01-12-2022,74,29-01-2024,112,12,
Margarete Mayer,Delectus reprehenderit non aliquam facilis voluptate error aut ipsa quibusdam.,01-03-2023,31-12-2023,75,24-05-2023,112,12,
Margarete Mayer,Est ipsa aut non saepe facilis est.,20-09-2022,11-10-2022,76,06-11-2023,112,12,
Margarete Mayer,Odit eum et magnam officiis natus ut dolore culpa.,20-03-2023,05-08-2022,77,14-12-2022,112,12,
Margarete Mayer,Velit voluptates beatae laudantium et facilis rem et facere.,11-08-2023,30-10-2022,78,31-05-2022,112,12,
Margarete Mayer,Nihil quaerat distinctio voluptatem qui aut et hic quidem.,27-05-2023,14-06-2022,79,14-11-2023,112,12,
Margarete Mayer,Iusto soluta corrupti deserunt.,01-02-2024,09-06-2022,80,20-01-2024,112,12,
Margarete Mayer,Ut officiis ratione et accusamus non.,03-01-2023,05-11-2022,81,26-05-2023,112,12,
Margarete Mayer,Beatae magnam facere nesciunt dolorem quia.,04-01-2024,01-12-2022,82,29-01-2024,112,12,
Margarete Mayer,Delectus reprehenderit non aliquam facilis voluptate error aut ipsa quibusdam.,01-03-2023,31-12-2023,83,24-05-2023,112,12,
Margarete Mayer,Est ipsa aut non saepe facilis est.,20-09-2022,11-10-2022,84,06-11-2023,112,12,
Margarete Mayer,Odit eum et magnam officiis natus ut dolore culpa.,20-03-2023,05-08-2022,85,14-12-2022,112,12,
Margarete Mayer,Velit voluptates beatae laudantium et facilis rem et facere.,11-08-2023,30-10-2022,86,31-05-2022,112,12,
Margarete Mayer,Nihil quaerat distinctio voluptatem qui aut et hic quidem.,27-05-2023,14-06-2022,87,14-11-2023,112,12,
